Team Members,Project Manager(You),Architect ,Owner ,Site Supervisor ,Project Engineer,Landscaper ,Supplier ,Laborers/ Tradesmen,Estimator ,Investors ,Safety Inspectors ,Interior Designer ,General Foreman ,Lawyer ,Realitor ,Field Engineer,Equipment Operator,BIM Engineer,Structural Engineer,LEED Professional ,Utility Expert 
Project Manager(You),0,4,5,1,5,2,2,2,1,1,4,1,5,2,1,5,3,2,3,2,4
Architect ,4,0,1,3,2,4,1,1,4,5,3,3,4,3,2,1,1,1,2,5,5
Owner ,5,1,0,5,5,4,4,4,3,4,5,2,2,3,4,5,5,4,2,5,3
Site Supervisor ,1,3,5,0,5,1,2,1,2,2,4,3,3,1,5,5,5,4,2,4,2
Project Engineer,5,2,5,5,0,3,5,1,1,1,1,1,2,3,5,3,5,3,4,3,5
Landscaper ,2,4,4,1,3,0,1,1,2,1,3,1,5,4,2,4,5,4,4,1,1
Supplier ,2,1,4,2,5,1,0,5,3,5,3,5,1,3,5,3,2,1,2,3,5
Laborers/ Tradesmen,2,1,4,1,1,1,5,0,4,5,5,5,4,1,3,4,5,4,4,1,5
Estimator ,1,4,3,2,1,2,3,4,0,5,3,3,5,2,2,1,5,1,4,5,2
Investors ,1,5,4,2,1,1,5,5,5,0,2,3,4,3,1,4,1,1,3,5,1
Safety Inspectors ,4,3,5,4,1,3,3,5,3,2,0,1,2,2,2,4,2,4,1,2,3
Interior Designer ,1,3,2,3,1,1,5,5,3,3,1,0,2,1,4,4,4,2,2,1,2
General Foreman ,5,4,2,3,2,5,1,4,5,4,2,2,0,1,1,3,3,1,3,4,3
Lawyer ,2,3,3,1,3,4,3,1,2,3,2,1,1,0,3,4,2,4,3,1,3
Realitor ,1,2,4,5,5,2,5,3,2,1,2,4,1,3,0,4,3,5,5,2,5
Field Engineer,5,1,5,5,3,4,3,4,1,4,4,4,3,4,4,0,4,2,3,5,1
Equipment Operator,3,1,5,5,5,5,2,5,5,1,2,4,3,2,3,4,0,5,3,5,2
BIM Engineer,2,1,4,4,3,4,1,4,1,1,4,2,1,4,5,2,5,0,4,4,2
Structural Engineer,3,2,2,2,4,4,2,4,4,3,1,2,3,3,5,3,3,4,0,4,3
LEED Professional ,2,5,5,4,3,1,3,1,5,5,2,1,4,1,2,5,5,4,4,0,4
Utility Expert ,4,5,3,2,5,1,5,5,2,1,3,2,3,3,5,1,2,2,3,4,0
